"raw","mean","median","time"
39.12, 38.96, 39.1, 1603417763.4797297
39.12, 38.95, 39.06, 1603417763.4797297
39.12, 39.02, 39.12, 1603417763.4797297
39.12, 39.0, 39.1, 1603417763.4797297
39.06, 39.0, 39.06, 1603417763.4797297
39.12, 39.05, 39.12, 1603417763.4797297
38.66, 39.03, 39.12, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
39.12, 39.08, 39.12, 1603417763.4797297
38.68, 39.09, 39.12, 1603417763.4797297
39.1, 39.08, 39.12, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
39.1, 39.08, 39.1, 1603417763.4797297
39.1, 39.04, 39.1, 1603417763.4797297
39.12, 39.08, 39.1, 1603417763.4797297
39.1, 39.02, 39.1, 1603417763.4797297
39.06, 38.85, 38.63, 1603417763.4797297
39.1, 38.91, 39.06, 1603417763.4797297
39.06, 38.87, 39.06, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
39.12, 39.08, 39.12, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
39.12, 39.06, 39.12, 1603417763.4797297
39.12, 39.01, 39.1, 1603417763.4797297
39.1, 39.03, 39.12, 1603417763.4797297
39.1, 39.08, 39.12, 1603417763.4797297
39.12, 39.07, 39.1, 1603417763.4797297
39.1, 39.09, 39.12, 1603417763.4797297
39.06, 39.0, 39.1, 1603417763.4797297
39.1, 38.94, 39.06, 1603417763.4797297
39.06, 39.05, 39.1, 1603417763.4797297
39.06, 39.07, 39.12, 1603417763.4797297
39.12, 39.05, 39.1, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
38.66, 39.02, 39.12, 1603417763.4797297
39.12, 38.96, 39.1, 1603417763.4797297
39.1, 39.02, 39.12, 1603417763.4797297
39.12, 38.94, 39.1, 1603417763.4797297
39.12, 39.05, 39.1, 1603417763.4797297
39.12, 39.03, 39.12, 1603417763.4797297
39.12, 38.98, 39.1, 1603417763.4797297
39.12, 38.95, 39.06, 1603417763.4797297
38.63, 39.0, 39.08, 1603417763.4797297
39.06, 39.08, 39.12, 1603417763.4797297
39.06, 38.99, 39.1, 1603417763.4797297
39.06, 38.92, 39.06, 1603417763.4797297
39.06, 39.06, 39.1, 1603417763.4797297
39.12, 39.07, 39.12, 1603417763.4797297
39.1, 39.07, 39.1, 1603417763.4797297
39.12, 39.01, 39.1, 1603417763.4797297
